vocabulary,meaning,IPA,book,author
wharf,码头,wɔrf,The Lonely War,Alan Chin
Private,私人的,ˈpraɪvət,The Last Kiss,Sally Malcolm
sanguinary,血腥,sanguinary*,The Lonely War,Alan Chin
court martial,军事法庭,kɔrt ˈmɑrʃəl,The Last Kiss,Sally Malcolm
pittance,微薄的,ˈpɪtəns,The Last Kiss,Sally Malcolm
chicory,菊苣,chicory*,The Lonely War,Alan Chin
Dharma,法,ˈdɑrmə,The Lonely War,Alan Chin
helmsman,舵手,ˈhɛlmzˌmæn,The Lonely War,Alan Chin
petty officer,士官,ˈpɛˌti ˈɔfɪsər,The Lonely War,Alan Chin
galley,厨房,ˈgæli,The Lonely War,Alan Chin
Ensign,军旗,ˈɛnsən,The Lonely War,Alan Chin
tempered steel,回火钢,ˈtɛmpərd stil,The Lonely War,Alan Chin
chaplain,牧师,ˈʧæplən,The Lonely War,Alan Chin
warmongers,战争贩子,warmongers*,The Lonely War,Alan Chin
reveille,起床,reveille*,The Lonely War,Alan Chin
tonsured,剃光头,tonsured*,The Lonely War,Alan Chin
shallot,葱,shallot*,The Lonely War,Alan Chin
genesis,起源,ˈʤɛnəsəs,The Lonely War,Alan Chin
midriff,膈,midriff*,The Lonely War,Alan Chin
dharma,法,ˈdɑrmə,The Lonely War,Alan Chin
mayonnaise,蛋黄酱,ˈmeɪəˌneɪz,The Lost Language of Cranes,David Leavitt
triptych,三联画,ˈtrɪptɪk,The Lost Language of Cranes,David Leavitt
hypodermic,皮下注射,ˌhaɪpəˈdərmɪk,The Lonely War,Alan Chin
stragglers,散兵游勇,ˈstræglərz,The Lonely War,Alan Chin
vestibule,前厅,ˈvɛstɪˌbjul,The Lost Language of Cranes,David Leavitt
tarpaulins,篷布,tarpaulins*,The Lost Language of Cranes,David Leavitt
pontifications,夸夸其谈,pɑnˌtɪfəˈkeɪʃənz,The Lost Language of Cranes,David Leavitt
enamelled,搪瓷,enamelled*,The Lost Language of Cranes,David Leavitt
discus,铁饼,ˈdɪskəs,The Lost Language of Cranes,David Leavitt
vigil,守夜,ˈvɪʤəl,The Lost Language of Cranes,David Leavitt
steins,斯坦斯,steins*,The Lost Language of Cranes,David Leavitt
sunvisor,遮阳板,sunvisor*,The Lost Language of Cranes,David Leavitt
fulcrum,支持,ˈfʊlkrəm,The Lost Language of Cranes,David Leavitt
futon,蒲团,ˈfutɑn,The Lost Language of Cranes,David Leavitt
mayhem,混乱,ˈmeɪˌhɛm,The Lost Language of Cranes,David Leavitt
machete,弯刀,məˈʧɛˌti,The Lost Language of Cranes,David Leavitt
mopish,悲,mopish*,The Lost Language of Cranes,David Leavitt
two-timer,两次计时器,two-timer*,The Lost Language of Cranes,David Leavitt
pinhead,针头,pinhead*,The Lost Language of Cranes,David Leavitt
rubble,瓦砾,ˈrəbəl,The Lost Language of Cranes,David Leavitt
ballast,镇流器,ˈbæləst,The Lost Language of Cranes,David Leavitt
acrostic,杂技,acrostic*,The Lost Language of Cranes,David Leavitt
lint,皮棉,lɪnt,"The Magpie Lord: A Charm of Magpies, Book 1",KJ Charles
musculature,肌肉组织,ˈməskjələʧər,The Lost Language of Cranes,David Leavitt
cliquishness,小集团,cliquishness*,The Lost Language of Cranes,David Leavitt
swastika,卍,sˈwɑstɪkə,The Lost Language of Cranes,David Leavitt
obsequious,低三下四,əbˈsikwiəs,"The Magpie Lord: A Charm of Magpies, Book 1",KJ Charles
Hereditary,遗传,hərˈɛdəˌtɛri,"The Magpie Lord: A Charm of Magpies, Book 1",KJ Charles
Factotum,完毕,factotum*,"The Magpie Lord: A Charm of Magpies, Book 1",KJ Charles
brambles,荆棘,ˈbræmbəlz,"The Magpie Lord: A Charm of Magpies, Book 1",KJ Charles
hireling,雇工,hireling*,"The Magpie Lord: A Charm of Magpies, Book 1",KJ Charles
miasma,瘴气,miˈæzmə,"The Magpie Lord: A Charm of Magpies, Book 1",KJ Charles
signet,图章,ˈsɪgnɪt,"The Magpie Lord: A Charm of Magpies, Book 1",KJ Charles
oleaginous,含油的,ˌoʊliˈæʤənəs,"The Magpie Lord: A Charm of Magpies, Book 1",KJ Charles
bedlam,疯人院,ˈbɛdləm,"The Magpie Lord: A Charm of Magpies, Book 1",KJ Charles
threadbare,破旧的,θˈrɛdˌbɛr,"The Magpie Lord: A Charm of Magpies, Book 1",KJ Charles
magpies,喜鹊,ˈmægˌpaɪz,"The Magpie Lord: A Charm of Magpies, Book 1",KJ Charles
Shaman,萨满,ˈʃeɪmən,"The Magpie Lord: A Charm of Magpies, Book 1",KJ Charles
etched,蚀刻,ɛʧt,"The Magpie Lord: A Charm of Magpies, Book 1",KJ Charles
mausoleum,陵,ˌmɔsəˈliəm,"The Magpie Lord: A Charm of Magpies, Book 1",KJ Charles
cloakroom,衣帽间,ˈkloʊˌkrum,The Only Gold,Tamara Allen
notarised,公证的,notarised*,"The Magpie Lord: A Charm of Magpies, Book 1",KJ Charles
puckish,调皮的,ˈpəkɪʃ,"The Magpie Lord: A Charm of Magpies, Book 1",KJ Charles
tawny,黄褐色,ˈtɑni,"The Magpie Lord: A Charm of Magpies, Book 1",KJ Charles
lintels,过梁,lintels*,"The Magpie Lord: A Charm of Magpies, Book 1",KJ Charles
haven,避风港,ˈheɪvən,The Only Gold,Tamara Allen
vellum,羊毛,vellum*,"The Magpie Lord: A Charm of Magpies, Book 1",KJ Charles
mink,貂,mɪŋk,"The Magpie Lord: A Charm of Magpies, Book 1",KJ Charles
dally,玩弄,ˈdæli,The Only Gold,Tamara Allen
bloodshot,血丝,bloodshot*,The Only Gold,Tamara Allen
eaves,檐,ivz,The Only Gold,Tamara Allen
tumbledown,滚落下来,tumbledown*,"The Magpie Lord: A Charm of Magpies, Book 1",KJ Charles
earshot,听力范围,ˈɪrˌʃɑt,"The Magpie Lord: A Charm of Magpies, Book 1",KJ Charles
girders,大梁,ˈgərdərz,"The Magpie Lord: A Charm of Magpies, Book 1",KJ Charles
postprandial,餐后,postprandial*,"The Magpie Lord: A Charm of Magpies, Book 1",KJ Charles
unseasonable,不合时宜的,unseasonable*,"The Magpie Lord: A Charm of Magpies, Book 1",KJ Charles
gave me,给我,geɪv mi,"The Magpie Lord: A Charm of Magpies, Book 1",KJ Charles
mausoleum,陵,ˌmɔsəˈliəm,"The Magpie Lord: A Charm of Magpies, Book 1",KJ Charles
passably,过得去,ˈpæsəbli,The Only Gold,Tamara Allen
sycamore,梧桐树,ˈsɪkəˌmɔr,The Only Gold,Tamara Allen
banquet,宴会,ˈbæŋkwət,"The Magpie Lord: A Charm of Magpies, Book 1",KJ Charles
begonia,秋海棠,bɪˈgoʊnjə,The Only Gold,Tamara Allen
blinders,眼罩,ˈblaɪndərz,The Only Gold,Tamara Allen
cachet,封印,ˈkæʃeɪ,"The Magpie Lord: A Charm of Magpies, Book 1",KJ Charles
bobbed,摆动的,bobbed*,The Only Gold,Tamara Allen
pergola,凉棚,ˈpərgələ,"The Magpie Lord: A Charm of Magpies, Book 1",KJ Charles
court,法庭,kɔrt,The Only Gold,Tamara Allen
gibbered,胡言乱语,gibbered*,"The Magpie Lord: A Charm of Magpies, Book 1",KJ Charles
susurrus,耳语,susurrus*,"The Magpie Lord: A Charm of Magpies, Book 1",KJ Charles
granite,花岗岩,ˈgrænɪt,The Only Gold,Tamara Allen
ledgers,账本,ˈlɛʤərz,The Only Gold,Tamara Allen
stethoscope,听诊器,ˈstɛθəˌskoʊp,The New Yorker Stories,Ann Beattie
dawdle,混日子,ˈdɔdəl,The Only Gold,Tamara Allen
callused,老茧,callused*,The Only Gold,Tamara Allen
mackerel,鲭鱼,ˈmækərəl,The Only Gold,Tamara Allen
snide,冷嘲热讽,snaɪd,The Only Gold,Tamara Allen
rubble,瓦砾,ˈrəbəl,The Only Gold,Tamara Allen
millinery,女帽,millinery*,The Only Gold,Tamara Allen
status quo,现状,ˈstætəs kwoʊ,The Only Gold,Tamara Allen
sharpers,磨刀器,sharpers*,The Only Gold,Tamara Allen
buttonholed,扣眼,ˈbətənˌhoʊld,"The Magpie Lord: A Charm of Magpies, Book 1",KJ Charles
gravy,肉汁,ˈgreɪvi,The Only Gold,Tamara Allen
obdurate,固执的,ˈɑbdərət,The Only Gold,Tamara Allen
rictus,笑了,rictus*,"The Magpie Lord: A Charm of Magpies, Book 1",KJ Charles
pomade,头油,pomade*,The Only Gold,Tamara Allen
gingerly,小心翼翼地,ˈʤɪnʤərli,The Only Gold,Tamara Allen
earshot,听力范围,ˈɪrˌʃɑt,The Only Gold,Tamara Allen
barrel into,桶入,ˈbɛrəl ˈɪntu,The Only Gold,Tamara Allen
fustian,福田,fustian*,"The Magpie Lord: A Charm of Magpies, Book 1",KJ Charles
sprite,精灵,spraɪt,The Only Gold,Tamara Allen
snicker,暗笑,sˈnɪkər,The Only Gold,Tamara Allen
commiseration,怜悯,commiseration*,The Only Gold,Tamara Allen
derby,德比,ˈdərbi,The Only Gold,Tamara Allen
dyspepsia,消化不良,dyspepsia*,The Only Gold,Tamara Allen
bout,回合,baʊt,The Only Gold,Tamara Allen
caravan,大篷车,ˈkɛrəˌvæn,"The Magpie Lord: A Charm of Magpies, Book 1",KJ Charles
gingerly,小心翼翼地,ˈʤɪnʤərli,The Only Gold,Tamara Allen
a drubbing,一顿痛打,ə ˈdrəbɪŋ,"The Magpie Lord: A Charm of Magpies, Book 1",KJ Charles
turnips,萝卜,ˈtərnəps,The Only Gold,Tamara Allen
coleus,锦紫苏,ˈkoʊliəs,The New Yorker Stories,Ann Beattie
gratis,自由的,ˈgrætəs,The Only Gold,Tamara Allen
condone,纵容,kənˈdoʊn,The Only Gold,Tamara Allen
harridan,在石头上,harridan*,"The Magpie Lord: A Charm of Magpies, Book 1",KJ Charles
wheezing,喘息,ˈwizɪŋ,The Only Gold,Tamara Allen
sill,窗台,sɪl,The Only Gold,Tamara Allen
temperamental,脾气暴躁的,ˌtɛmpərˈmɛntəl,The Only Gold,Tamara Allen
vandalized,遭到破坏,ˈvændəˌlaɪzd,The Only Gold,Tamara Allen
ado,无事生非,əˈdu,The Only Gold,Tamara Allen
sash,窗扇,sæʃ,The Only Gold,Tamara Allen
pail,桶,peɪl,The Only Gold,Tamara Allen
unrepentant,死不悔改,ˌənrɪˈpɛntənt,The Only Gold,Tamara Allen
overcast,灰蒙蒙,ˈoʊvərˌkæst,The Only Gold,Tamara Allen
partake,参加,pɑrˈteɪk,The Only Gold,Tamara Allen
jabbed,刺戳,ʤæbd,The Only Gold,Tamara Allen
gloating,幸灾乐祸,ˈgloʊtɪŋ,The Only Gold,Tamara Allen
prowling,徘徊,ˈpraʊlɪŋ,The Only Gold,Tamara Allen
cocksure,自以为是,cocksure*,The Only Gold,Tamara Allen
Hemmed,包边,hɛmd,The Only Gold,Tamara Allen
blotter,记事簿,ˈblɑtər,The Only Gold,Tamara Allen
lullaby,催眠曲,ˈlələˌbaɪ,The Only Gold,Tamara Allen
roguish,调皮,roguish*,The Only Gold,Tamara Allen
mouser,鼠标,ˈmaʊzər,The Only Gold,Tamara Allen
lilt of,轻的,lɪlt əv,The Only Gold,Tamara Allen
unerringly,准确地,unerringly*,The Only Gold,Tamara Allen
bedraggled,湿漉漉的,bɪˈdrægəld,The Only Gold,Tamara Allen
unwonted,不寻常的,unwonted*,The Only Gold,Tamara Allen
truce,休战,trus,The Only Gold,Tamara Allen
scooped up,捞起,skupt əp,The Only Gold,Tamara Allen
whisked,搅拌的,wɪskt,The Only Gold,Tamara Allen
trespasses,侵犯,trespasses*,The Only Gold,Tamara Allen
quelled,平息,kwɛld,The Only Gold,Tamara Allen
shuddered,不寒而栗,ˈʃədərd,The Only Gold,Tamara Allen
splayed,八字形,splayed*,The Only Gold,Tamara Allen
promenading,散步,promenading*,The Only Gold,Tamara Allen
bespectacled,戴眼镜的,bɪˈspɛktəkəld,The Only Gold,Tamara Allen
Unbidden,不请自来,unbidden*,The Only Gold,Tamara Allen
ogre,食人魔,ˈoʊgər,The Only Gold,Tamara Allen
flask,烧瓶,flæsk,The Only Gold,Tamara Allen
taxing,征税,ˈtæksɪŋ,The Only Gold,Tamara Allen
scour,冲刷,skaʊər,The Only Gold,Tamara Allen
quadrille,四边形,quadrille*,The Only Gold,Tamara Allen
waylaid,伏击,ˈweɪˌleɪd,The Only Gold,Tamara Allen
uppity,傲慢,ˈəpəti,The Only Gold,Tamara Allen
bristling,刚毛,ˈbrɪsəlɪŋ,The Only Gold,Tamara Allen
scarecrow,稻草人,ˈskærˌkroʊ,The Only Gold,Tamara Allen
ingratiate,迎合,ˌɪŋˈgreɪʃiˌeɪt,The Only Gold,Tamara Allen
saltcellar,盐窖,saltcellar*,The Only Gold,Tamara Allen
nape,颈背,nape*,The Only Gold,Tamara Allen
winsomely,迷人地,winsomely*,The Only Gold,Tamara Allen
drape,悬垂,dreɪp,The Only Gold,Tamara Allen
article,文章,ˈɑrtɪkəl,The Only Gold,Tamara Allen
lapel,翻领,ləˈpɛl,The Only Gold,Tamara Allen
rakish,放荡的,ˈreɪkɪʃ,The Only Gold,Tamara Allen
sheened,发亮的,sheened*,The Only Gold,Tamara Allen
lumpy,块状的,ˈləmpi,The Only Gold,Tamara Allen
patter,喋喋不休,ˈpætər,The Only Gold,Tamara Allen
treading,踏着,ˈtrɛdɪŋ,The Only Gold,Tamara Allen
basin,盆地,ˈbeɪsən,The Only Gold,Tamara Allen
desecrated,亵渎,dɛzəˈkreɪtɪd,The Only Gold,Tamara Allen
nave,中殿,neɪv,The Only Gold,Tamara Allen
awash,淹没,əˈwɑʃ,The Only Gold,Tamara Allen
Gadfly,虻,ˈgædˌflaɪ,The Only Gold,Tamara Allen
without,没有,wɪˈθaʊt,The Only Gold,Tamara Allen
copse,矮林,copse*,The Only Gold,Tamara Allen
en masse,很多,ɛn mæs,The Only Gold,Tamara Allen
slush,雪泥,sləʃ,The Only Gold,Tamara Allen
crocuses,番红花,ˈkroʊkjusɪz,The Only Gold,Tamara Allen
fumble,摸索,ˈfəmbəl,The Only Gold,Tamara Allen
thump,扑通,θəmp,The Only Gold,Tamara Allen
incorrigible,不可救药,ˌɪnˈkɑrəʤəbəl,The Only Gold,Tamara Allen
pitcher,投手,ˈpɪʧər,The Only Gold,Tamara Allen
brimmed,满满的,brɪmd,The Only Gold,Tamara Allen
jab,戳,ʤæb,The Only Gold,Tamara Allen
patchwork,错落有致,ˈpæʧˌwərk,The Only Gold,Tamara Allen
nib,笔尖,nɪb,The Only Gold,Tamara Allen
damask,绫,ˈdæməsk,The Only Gold,Tamara Allen
mollified,软化,ˈmɑləˌfaɪd,The Only Gold,Tamara Allen
jaunts,短途旅行,ʤɔnts,The Only Gold,Tamara Allen
brothel,妓院,ˈbrɑθəl,The Only Gold,Tamara Allen
stallions,种马,ˈstæljənz,The Only Gold,Tamara Allen
retribution,报应,ˌrɛtrəˈbjuʃən,The Only Gold,Tamara Allen
Valiant,英勇,ˈvæljənt,The Only Gold,Tamara Allen
trussed,捆起来的,trussed*,The Only Gold,Tamara Allen
whiled away,消磨时间,whiled* əˈweɪ,The Only Gold,Tamara Allen
pounced,猛扑,paʊnst,The Only Gold,Tamara Allen
pegged as,钉为,pɛgd ɛz,The Only Gold,Tamara Allen
brunt,首当其冲,brənt,The Only Gold,Tamara Allen
trudged,跋涉,trəʤd,The Only Gold,Tamara Allen
Traipsing,游荡,ˈtreɪpsɪŋ,The Only Gold,Tamara Allen
vantage point,制高点,ˈvæntɪʤ pɔɪnt,The Only Gold,Tamara Allen
fore,前面,fɔr,The Only Gold,Tamara Allen
stodgy,古板的,ˈstɑʤi,The Only Gold,Tamara Allen
lanterns,灯笼,ˈlæntərnz,The Only Gold,Tamara Allen
doffing,落纱,ˈdɔfɪŋ,The Only Gold,Tamara Allen
frock,连衣裙,frɑk,The Only Gold,Tamara Allen
finials,顶饰,finials*,The Only Gold,Tamara Allen
wading,涉水,ˈweɪdɪŋ,The Only Gold,Tamara Allen
ransom,赎金,ˈrænsəm,The Only Gold,Tamara Allen
banister,栏杆,ˈbænɪstər,The Only Gold,Tamara Allen
snowbank,雪堆,snowbank*,The Only Gold,Tamara Allen
salve,药膏,sɑv,The Only Gold,Tamara Allen
settee,沙发,settee*,The Only Gold,Tamara Allen
burlap,粗麻布,ˈbərˌlæp,The Only Gold,Tamara Allen
railing at,栏杆在,ˈreɪlɪŋ æt,The Only Gold,Tamara Allen
at bay,和湾,æt beɪ,The Only Gold,Tamara Allen
plaid,格子,plæd,The Only Gold,Tamara Allen
entombment,窀穸,ɪnˈtummənt,The Only Gold,Tamara Allen
holstered,皮套,holstered*,The Only Gold,Tamara Allen
"floe,",浮冰，,"floʊ,",The Only Gold,Tamara Allen
sidled,侧身,ˈsaɪdəld,The Only Gold,Tamara Allen
commiserating,同情的,commiserating*,The Only Gold,Tamara Allen
veined,有脉的,veined*,The Only Gold,Tamara Allen
drawn,画,drɔn,The Only Gold,Tamara Allen
weathervane,风向标,weathervane*,The Only Gold,Tamara Allen
washstand,盥洗台,washstand*,The Only Gold,Tamara Allen
brogues,布洛克鞋,brogues*,The Player,Lily Morton
truffles,松露,ˈtrəfəlz,The Player,Lily Morton
piecemeal,零碎的,ˈpisˌmil,The Only Gold,Tamara Allen
quiff,髦,quiff*,The Player,Lily Morton
tonsils,扁桃体,ˈtɑnsəlz,The Player,Lily Morton
quotidian,日常,quotidian*,The People in the Trees: A Novel,"Yanagihara, Hanya"
foisting,强加,foisting*,The People in the Trees: A Novel,"Yanagihara, Hanya"
overextended,过度扩张,ˌoʊvərɪkˈstɛndəd,The People in the Trees: A Novel,"Yanagihara, Hanya"
tenor,男高音,ˈtɛnər,The People in the Trees: A Novel,"Yanagihara, Hanya"
sycamore,梧桐树,ˈsɪkəˌmɔr,The Only Gold,Tamara Allen
installment,分期付款,ˌɪnˈstɔlmənt,The People in the Trees: A Novel,"Yanagihara, Hanya"
risqué,有风险的,risqué*é,The Player,Lily Morton
treacly,甜甜的,treacly*,The People in the Trees: A Novel,"Yanagihara, Hanya"
yokels,乡巴佬,yokels*,The People in the Trees: A Novel,"Yanagihara, Hanya"
effete,衰弱,ɛˈfit,The People in the Trees: A Novel,"Yanagihara, Hanya"
lull,麻痹,ləl,The People in the Trees: A Novel,"Yanagihara, Hanya"
garnered,获得,ˈgɑrnərd,The Only Gold,Tamara Allen
exacting,严格,ɪgˈzæktɪŋ,The People in the Trees: A Novel,"Yanagihara, Hanya"
slipshod,草率的,sˈlɪpˌʃɑd,The People in the Trees: A Novel,"Yanagihara, Hanya"
astigmatism,散光,əˈstɪgməˌtɪzəm,The People in the Trees: A Novel,"Yanagihara, Hanya"
sciatica,坐骨神经痛,sciatica*,The People in the Trees: A Novel,"Yanagihara, Hanya"
centrifuge,离心机,ˈsɛntrəfˌjuʤ,The People in the Trees: A Novel,"Yanagihara, Hanya"
tenets,信条,ˈtɛnəts,The People in the Trees: A Novel,"Yanagihara, Hanya"
postmenopausal,绝经后,postmenopausal*,The People in the Trees: A Novel,"Yanagihara, Hanya"
bedecked,装饰的,bɪˈdɛkt,The People in the Trees: A Novel,"Yanagihara, Hanya"
menstrual,月经,ˈmɛnstrəl,The People in the Trees: A Novel,"Yanagihara, Hanya"
phrenologist,颅相学家,phrenologist*,The People in the Trees: A Novel,"Yanagihara, Hanya"
lupine,羽扇豆,ˈluˌpaɪn,The People in the Trees: A Novel,"Yanagihara, Hanya"
croon,轻哼,krun,The Player,Lily Morton
fleecy,蓬松的,ˈflisi,The People in the Trees: A Novel,"Yanagihara, Hanya"
profligacy,挥霍无度,ˈprɔflɪˌgæsi,The People in the Trees: A Novel,"Yanagihara, Hanya"
dysentery,痢,ˈdɪsənˌtɛri,The People in the Trees: A Novel,"Yanagihara, Hanya"
unsullied,纯洁的,ənˈsəlid,The People in the Trees: A Novel,"Yanagihara, Hanya"
dromedary’s,单峰骆驼的,dromedary’s*,The People in the Trees: A Novel,"Yanagihara, Hanya"
neighing,嘶鸣,neighing*,The People in the Trees: A Novel,"Yanagihara, Hanya"
canteen,食堂,kænˈtin,The People in the Trees: A Novel,"Yanagihara, Hanya"
ululating,起伏的,ululating*,The People in the Trees: A Novel,"Yanagihara, Hanya"
diesel,柴油机,ˈdizəl,The People in the Trees: A Novel,"Yanagihara, Hanya"
tumors,肿瘤,ˈtumərz,The People in the Trees: A Novel,"Yanagihara, Hanya"
cilia,纤毛,cilia*,The People in the Trees: A Novel,"Yanagihara, Hanya"
composty,堆肥的,composty*,The People in the Trees: A Novel,"Yanagihara, Hanya"
Taro,芋头,ˈtɛroʊ,The People in the Trees: A Novel,"Yanagihara, Hanya"
diorama,西洋镜,diorama*,The People in the Trees: A Novel,"Yanagihara, Hanya"
bromeliads,凤梨科植物,bromeliads*,The People in the Trees: A Novel,"Yanagihara, Hanya"
priapic,阴茎异常勃起,priapic*,The People in the Trees: A Novel,"Yanagihara, Hanya"
hog,猪,hɑg,The People in the Trees: A Novel,"Yanagihara, Hanya"
hirsute,多毛的,hərˈsut,The People in the Trees: A Novel,"Yanagihara, Hanya"
sphinx,狮身人面像,sfɪŋks,The People in the Trees: A Novel,"Yanagihara, Hanya"
groves,树林,groʊvz,The People in the Trees: A Novel,"Yanagihara, Hanya"
lambency,柔光度,lambency*,The People in the Trees: A Novel,"Yanagihara, Hanya"
cadge,乞讨,cadge*,The People in the Trees: A Novel,"Yanagihara, Hanya"
scrim,稀松布,scrim*,The People in the Trees: A Novel,"Yanagihara, Hanya"
miffed,生气,mɪft,The People in the Trees: A Novel,"Yanagihara, Hanya"
singe,烧焦,sɪnʤ,The People in the Trees: A Novel,"Yanagihara, Hanya"
suet,羊脂,suet*,The People in the Trees: A Novel,"Yanagihara, Hanya"
fugue,赋格曲,fjug,The People in the Trees: A Novel,"Yanagihara, Hanya"
marigold,万寿菊,ˈmɛrəˌgoʊld,The People in the Trees: A Novel,"Yanagihara, Hanya"
pouch,小袋,paʊʧ,The People in the Trees: A Novel,"Yanagihara, Hanya"
fellating,口交,fellating*,The People in the Trees: A Novel,"Yanagihara, Hanya"
gerontology,老年学,ˌʤɛrənˈtɑləʤi,The People in the Trees: A Novel,"Yanagihara, Hanya"
scurrilous,下流的,ˈskərələs,The People in the Trees: A Novel,"Yanagihara, Hanya"
salt lick,盐舔,sɔlt lɪk,The People in the Trees: A Novel,"Yanagihara, Hanya"
telomeres,端粒,ˈtɛləmirz,The People in the Trees: A Novel,"Yanagihara, Hanya"
embryonic,胚胎的,ˌɛmbriˈɑnɪk,The People in the Trees: A Novel,"Yanagihara, Hanya"
leper,麻风病人,ˈlɛpər,The People in the Trees: A Novel,"Yanagihara, Hanya"
hepatitis,肝炎,ˌhɛpəˈtaɪtəs,The People in the Trees: A Novel,"Yanagihara, Hanya"
epaulet,肩章,epaulet*,The People in the Trees: A Novel,"Yanagihara, Hanya"
osteoporosis,骨质疏松症,ˌɔstiˌɑpərˈoʊsɪs,The People in the Trees: A Novel,"Yanagihara, Hanya"
thoroughfares,大道,ˈθəroʊˌfɛrz,The People in the Trees: A Novel,"Yanagihara, Hanya"
liturgical,礼仪的,ləˈtərʤɪkəl,The People in the Trees: A Novel,"Yanagihara, Hanya"
ronin,浪人,ˈroʊnɪn,The People in the Trees: A Novel,"Yanagihara, Hanya"
beakers,烧杯,beakers*,The People in the Trees: A Novel,"Yanagihara, Hanya"
détente,缓和,détente*,The People in the Trees: A Novel,"Yanagihara, Hanya"
gourds,葫芦,gɔrdz,The People in the Trees: A Novel,"Yanagihara, Hanya"
jalopy,老爷车,ʤəˈlɑpi,The People in the Trees: A Novel,"Yanagihara, Hanya"
scrapped,报废,skræpt,The People in the Trees: A Novel,"Yanagihara, Hanya"
rapaciousness,贪婪,rapaciousness*,The People in the Trees: A Novel,"Yanagihara, Hanya"
terrarium,玻璃容器,terrarium*,The People in the Trees: A Novel,"Yanagihara, Hanya"
welts,伤痕,welts*,The People in the Trees: A Novel,"Yanagihara, Hanya"
toucans,巨嘴鸟,toucans*,The People in the Trees: A Novel,"Yanagihara, Hanya"
adenoidally,腺样体,adenoidally*,The People in the Trees: A Novel,"Yanagihara, Hanya"
oeuvres,作品,oeuvres*,The People in the Trees: A Novel,"Yanagihara, Hanya"
eczema,湿疹,ˈɛksəmə,The People in the Trees: A Novel,"Yanagihara, Hanya"
albinic,白化病,albinic*,The People in the Trees: A Novel,"Yanagihara, Hanya"
brogues,布洛克鞋,brogues*,The People in the Trees: A Novel,"Yanagihara, Hanya"
gerbils,沙鼠,gerbils*,The People in the Trees: A Novel,"Yanagihara, Hanya"
stammer,结巴,ˈstæmər,The People in the Trees: A Novel,"Yanagihara, Hanya"
ringworm,癣,ringworm*,The People in the Trees: A Novel,"Yanagihara, Hanya"
levers,杠杆,ˈlɛvərz,The People in the Trees: A Novel,"Yanagihara, Hanya"
pus,脓,pəs,The People in the Trees: A Novel,"Yanagihara, Hanya"
chrysalis,蛹,ˈkrɪsəlɪs,The People in the Trees: A Novel,"Yanagihara, Hanya"
gourmand,美食家,gourmand*,The People in the Trees: A Novel,"Yanagihara, Hanya"
screecher,尖叫声,screecher*,The People in the Trees: A Novel,"Yanagihara, Hanya"
cholera,霍乱,ˈkɑlərə,The People in the Trees: A Novel,"Yanagihara, Hanya"
gangrene,坏疽,ˈgængrin,The People in the Trees: A Novel,"Yanagihara, Hanya"
tumult,骚动,ˈtuməlt,The People in the Trees: A Novel,"Yanagihara, Hanya"
truculent,朴实的,ˈtrəkjələnt,The People in the Trees: A Novel,"Yanagihara, Hanya"
tic,抽动,tɪk,The People in the Trees: A Novel,"Yanagihara, Hanya"
conjunctivitis,结膜炎,conjunctivitis*,The People in the Trees: A Novel,"Yanagihara, Hanya"
succulent,肉质的,ˈsəkjəlɪnt,The People in the Trees: A Novel,"Yanagihara, Hanya"
pulleys,滑轮,ˈpʊliz,The People in the Trees: A Novel,"Yanagihara, Hanya"
gumption,进取心,ˈgəmpʃən,The Power of the Dog,Thomas Savage
clover,三叶草,ˈkloʊvər,The Power of the Dog,Thomas Savage
plodder,苦工,plodder*,The Power of the Dog,Thomas Savage
moseyed,鼠眼的,moseyed*,The Power of the Dog,Thomas Savage
carbine,马枪,ˈkɑrˌbaɪn,The Power of the Dog,Thomas Savage
gibbet,绞刑架,gibbet*,The Power of the Dog,Thomas Savage
get his goat,得到他的山羊,gɪt hɪz goʊt,The Power of the Dog,Thomas Savage
bran,麸,bræn,The Power of the Dog,Thomas Savage
driveling,胡言乱语,driveling*,The Power of the Dog,Thomas Savage
skimmed,脱脂,skɪmd,The Power of the Dog,Thomas Savage
mosey,漫步,ˈmoʊzi,The Power of the Dog,Thomas Savage
hazed,朦胧的,hazed*,The Power of the Dog,Thomas Savage
savvied,精明的,savvied*,The Power of the Dog,Thomas Savage
java,爪哇,ˈʤɑvə,The Power of the Dog,Thomas Savage
anvil,砧,ˈænvəl,The Power of the Dog,Thomas Savage
grommets,索环,grommets*,The Power of the Dog,Thomas Savage
under the influence,受其影响,ˈəndər ðə ˈɪnfluəns,The Power of the Dog,Thomas Savage
moccasins,鹿皮鞋,ˈmɑkəsɪnz,The Power of the Dog,Thomas Savage
buggy,越野车,ˈbəgi,The Power of the Dog,Thomas Savage
ambrosia,神的食物,æmˈbroʊʒə,The Power of the Dog,Thomas Savage
cottoned to,棉花到,ˈkɑtənd tɪ,The Power of the Dog,Thomas Savage
sprucing up,打扮,ˈsprusɪŋ əp,The Power of the Dog,Thomas Savage
rhododendrons,杜鹃花,rhododendrons*,The Rational Faculty,Gregory Ashe
spatula,抹刀,ˈspæˌʧʊlə,The Rational Faculty,Gregory Ashe
give a hoot about,在乎,gɪv ə hut əˈbaʊt,The Rational Faculty,Gregory Ashe
rototiller,旋耕机,ˈroʊtəˌtɪlər,The Rational Faculty,Gregory Ashe
