vocabulary,meaning,IPA,book,author
cabana,小屋,kəˈbænəz,Seducing Professor Coyle,Darien Cox
spot-on,发现,spot-on*,Short Stack,Lily Morton
crimp,"1. To fold or plait in regular undulation in such a way that the material will retain the shape intended; to give a wavy apperance to; as, to crimp the border of a cap; to crimp a ruffle. Cf. Crisp. The comely hostess in a crimped cap. W. Irving. 2. To pinch and hold; to seize. 3. Hence, to entrap into the military or naval service; as, to crimp seamen. Coaxing and courting with intent to crimp him. Carlyle. 4. (Cookery)  To cause to contract, or to render more crisp, as the flesh of a fish, by gashing it, when living, with a knife; as, to crimp skate, etc. Crimping house, a low lodging house, into which men are decoyed and plied with drink, to induce them to ship or enlist as sailors or soldiers. -- Crimping iron. (a) An iron instrument for crimping and curling the hair. (b) A crimping machine. -- Crimping machine, a machine with fluted rollers or with dies, for crimping ruffles leather, iron, etc. -- Crimping pin, an instrument for crimping or puckering the border of a lady's cap.

1. Easily crumbled; friable; brittle. [R.] Now the fowler . . . treads the crimp earth. J. Philips. 2. Weak; inconsistent; contradictory. [R.] The evidance is crimp; the witnesses swear backward and forward, and contradict themselves. Arbuthnot.

1. A coal broker. [Prov. Eng.] De Foe. 2. One who decoys or entraps men into the military or naval service. Marryat. 3. A keeper of a low lodging house where sailors and emigrants are entrapped and fleeced. 4. Hair which has been crimped; -- usually in pl. 5. A game at cards. [Obs.] B. Jonson. Boot crimp. See under Boot.",krɪmp,Short Stack,Lily Morton
trawl,"To take fish, or other marine animals, with a trawl.

1. A fishing line, often extending a mile or more, having many short lines bearing hooks attached to it. It is used for catching cod, halibut, etc.; a boulter. [U. S. & Canada] 2. A large bag net attached to a beam with iron frames at its ends, and dragged at the bottom of the sea, -- used in fishing, and in gathering forms of marine life from the sea bottom.",trawl*,Short Stack,Lily Morton
gun shy,恐惧,gən ʃaɪ,Seducing Professor Coyle,Darien Cox
truffle,"Any one of several kinds of roundish, subterranean fungi, usually of a blackish color. The French truffle (Tuber melanosporum) and the English truffle (T. æstivum) are much esteemed as articles of food. Truffle worm (Zoöl.), the larva of a fly of the genus Leiodes, injurious to truffles. Truffle pig, a pig used for finding truffles. Note: When trained, certain pigs have a peculiar ability to smell truffles which lie underground, making them useful for searching out hidden truffles.",ˈtrəfəl,Short Stack,Lily Morton
wand,"1. A small stick; a rod; a verge. With good smart blows of a wand on his back. Locke. 2. Specifically: (a) A staff of authority. Though he had both spurs and wand, they seemed rather marks of sovereignty than instruments of punishment. Sir P. Sidney. (b) A rod used by conjurers, diviners, magicians, etc. Picus bore a buckler in his hand; His other waved a long divining wand. Dryden. Wand of peace (Scots Law), a wand, or staff, carried by the messenger of a court, which he breaks when deforced (that is, hindered from executing process), as a symbol of the deforcement, and protest for remedy of law. Burrill.",wɑnd,hors d&#39;oeuvres,N.R. Walker
loafer,One who loafs; a lazy lounger. Lowell.,ˈloʊfərz,hors d&#39;oeuvres,N.R. Walker
high-maintenance,高维护,high-maintenance*,Short Stack,Lily Morton
griped,抱怨,graɪpt,hors d&#39;oeuvres,N.R. Walker
prostate,"Standing before; -- applied to a gland which is found in the males of most mammals, and is situated at the neck of the bladder where this joins the urethra. -- n.  The prostate gland.",ˈprɑˌsteɪt,hors d&#39;oeuvres,N.R. Walker
cog,"1. To seduce, or draw away, by adulation, artifice, or falsehood; to wheedle; to cozen; to cheat. [R.] I'll . . . cog their hearts from them. Shak. 2. To obtrude or thrust in, by falsehood or deception; as, to cog in a word; to palm off. [R.] Fustian tragedies . . . have, by concerted applauses, been cogged upon the town for masterpieces. J. Dennis To cog a die, to load so as to direct its fall; to cheat in playing dice. Swift.

To deceive; to cheat; to play false; to lie; to wheedle; to cajole. For guineas in other men's breeches, Your gamesters will palm and will cog. Swift.

A trick or deception; a falsehood. Wm. Watson.

1. (Mech.)  A tooth, cam, or catch for imparting or receiving motion, as on a gear wheel, or a lifter or wiper on a shaft; originally, a separate piece of wood set in a mortise in the face of a wheel. 2. (Carp.) (a) A kind of tenon on the end of a joist, received into a notch in a bearing timber, and resting flush with its upper surface. (b) A tenon in a scarf joint; a coak. Knight. 3. (Mining.)  One of the rough pillars of stone or coal left to support the roof of a mine.

To furnish with a cog or cogs. Cogged breath sound (Auscultation), a form of interrupted respiration, in which the interruptions are very even, three or four to each inspiration. Quain.

A small fishing boat. Ham. Nav. Encyc.",cogs*,hors d&#39;oeuvres,N.R. Walker
screwdriver,螺丝刀,ˈskruˌdraɪvər,Short Stack,Lily Morton
gnome,"1. An imaginary being, supposed by the Rosicrucians to inhabit the inner parts of the earth, and to be the guardian of mines, quarries, etc. 2. A dwarf; a goblin; a person of small stature or misshapen features, or of strange appearance. 3. (Zoöl.)  A small owl (Glaucidium gnoma) of the Western United States. 4. Etym: [Gr.  A brief reflection or maxim. Peacham.",noʊm,Short Stack,Lily Morton
lollipop,A kind of sugar confection which dissolves easily in the mouth. Thackeray.,ˈlɑliˌpɑp,hors d&#39;oeuvres,N.R. Walker
Sass,萨斯,sæs,Short Stack,Lily Morton
beckoned,招手,ˈbɛkənd,hors d&#39;oeuvres,N.R. Walker
bouffant,蓬松,bouffant*,hors d&#39;oeuvres,N.R. Walker
Mardi Gras,狂欢节,ˈmɑrdi grɑ,hors d&#39;oeuvres,N.R. Walker
disclaimer,"1. One who disclaims, disowns, or renounces. 2. (Law)  A denial, disavowal, or renunciation, as of a title, claim, interest, estate, or trust; relinquishment or waiver of an interest or estate. Burrill. 3. A public disavowal, as of pretensions, claims, opinions, and the like. Burke.",dɪˈskleɪmər,hors d&#39;oeuvres,N.R. Walker
hairdo,发型,ˈhɛrˌdu,hors d&#39;oeuvres,N.R. Walker
jizz,精液,jizz*,hors d&#39;oeuvres,N.R. Walker
tan my hide,晒黑我的皮,tæn maɪ haɪd,hors d&#39;oeuvres,N.R. Walker
cornflakes,玉米片,cornflakes*,hors d&#39;oeuvres,N.R. Walker
dimple,"1. A slight natural depression or indentation on the surface of some part of the body, esp. on the cheek or chin. Milton. The dimple of her chin. Prior. 2. A slight indentation on any surface. The garden pool's dark surface . . . Breaks into dimples small and bright. Wordsworth.

To form dimples; to sink into depressions or little inequalities. And smiling eddies dimpled on the main. Dryden.

To mark with dimples or dimplelike depressions. Shak.",ˈdɪmpəlz,hors d&#39;oeuvres,N.R. Walker
soggy,"Filled with water; soft with moisture; sodden; soaked; wet; as, soggy land or timber.",ˈsɑgi,hors d&#39;oeuvres,N.R. Walker
rasped,刺耳的,ræspt,hors d&#39;oeuvres,N.R. Walker
denim,"A coarse cotton drilling used for overalls, etc.",ˈdɛnəm,hors d&#39;oeuvres,N.R. Walker
plateaued,稳定的,plæˈtoʊd,hors d&#39;oeuvres,N.R. Walker
espresso,浓咖啡,ˌɛˈsprɛsoʊ,hors d&#39;oeuvres,N.R. Walker
huffed,怒气冲冲,həft,hors d&#39;oeuvres,N.R. Walker
pizzeria,比萨店,ˌpitsərˈiə,hors d&#39;oeuvres,N.R. Walker
the,"See Thee. [Obs.] Chaucer. Milton.

A word placed before nouns to limit or individualize their meaning. Note: The was originally a demonstrative pronoun, being a weakened form of that. When placed before adjectives and participles, it converts them into abstract nouns; as, the sublime and the beautiful. Burke. The is used regularly before many proper names, as of rivers, oceans, ships, etc.; as, the Nile, the Atlantic, the Great Eastern, the West Indies, The Hague. The with an epithet or ordinal number often follows a proper name; as, Alexander the Great; Napoleon the Third. The may be employed to individualize a particular kind or species; as, the grasshopper shall be a burden. Eccl. xii. 5.

By that; by how much; by so much; on that account; -- used before comparatives; as, the longer we continue in sin, the more difficult it is to reform. ""Yet not the more cease I."" Milton. So much the rather thou, Celestial Light, Shine inward, and the mind through all her powers Irradiate. Milton.",ðə,hors d&#39;oeuvres,N.R. Walker
lightsabres,光剑,lightsabres*,hors d&#39;oeuvres,N.R. Walker
small of his back,他的小背,smɔl əv hɪz bæk,hors d&#39;oeuvres,N.R. Walker
overboard with,落水与,ˈoʊvərˌbɔrd wɪθ,hors d&#39;oeuvres,N.R. Walker
handsy,手缝,handsy*,hors d&#39;oeuvres,N.R. Walker
fly,"1. To move in or pass thorugh the air with wings, as a bird. 2. To move through the air or before the wind; esp., to pass or be driven rapidly through the air by any impulse. 3. To float, wave, or rise in the air, as sparks or a flag. Man is born unto trouble, as the sparks fly upward. Job v. 7. 4. To move or pass swiftly; to hasten away; to circulate rapidly; as, a ship flies on the deep; a top flies around; rumor flies. Fly, envious Time, till thou run out thy race. Milton. The dark waves murmured as the ships flew on. Bryant. 5. To run from danger; to attempt to escape; to flee; as, an enemy or a coward flies. See Note under Flee. Fly, ere evil intercept thy flight. Milton. Whither shall I fly to escape their hands Shak. 6. To move suddenly, or with violence; to do an act suddenly or swiftly; -- usually with a qualifying word; as, a door flies open; a bomb flies apart. To fly about (Naut.), to change frequently in a short time; -- said of the wind. -- To fly around, to move about in haste. [Colloq.] -- To fly at, to spring toward; to rush on; to attack suddenly. -- To fly in the face of, to insult; to assail; to set at defiance; to oppose with violence; to act in direct opposition to; to resist. -- To fly off, to separate, or become detached suddenly; to revolt. -- To fly on, to attack. -- To fly open, to open suddenly, or with violence. -- To fly out. (a) To rush out. (b) To burst into a passion; to break out into license. -- To let fly. (a) To throw or drive with violence; to discharge. ""A man lets fly his arrow without taking any aim."" Addison. (b) (Naut.) To let go suddenly and entirely; as, to let fly the sheets.

1. To cause to fly or to float in the air, as a bird, a kite, a flag, etc. The brave black flag I fly. W. S. Gilbert. 2. To fly or flee from; to shun; to avoid. Sleep flies the wretch. Dryden. To fly the favors of so good a king. Shak. 3. To hunt with a hawk. [Obs.] Bacon. To fly a kite (Com.), to raise money on commercial notes. [Cant or Slang]

1. (Zoöl.) (a) Any winged insect; esp., one with transparent wings; as, the Spanish fly; firefly; gall fly; dragon fly. (b) Any dipterous insect; as, the house fly; flesh fly; black fly. See Diptera, and Illust. in Append. 2. A hook dressed in imitation of a fly, -- used for fishing. ""The fur-wrought fly."" Gay. 3. A familiar spirit; a witch's attendant. [Obs.] A trifling fly, none of your great familiars. B. Jonson. 4. A parasite. [Obs.] Massinger. 5. A kind of light carriage for rapid transit, plying for hire and usually drawn by one horse. [Eng.] 6. The length of an extended flag from its staff; sometimes, the length from the ""union"" to the extreme end. 7. The part of a vane pointing the direction from which the wind blows. 8. (Naut.)  That part of a compass on which the points are marked; the compass card. Totten. 9. (Mech.) (a) Two or more vanes set on a revolving axis, to act as a fanner, or to equalize or impede the motion of machinery by the resistance of the air, as in the striking part of a clock. (b) A heavy wheel, or cross arms with weights at the ends on a revolving axis, to regulate or equalize the motion of machinery by means of its inertia, where the power communicated, or the resistance to be overcome, is variable, as in the steam engine or the coining press. See Fly wheel (below). 10. (Knitting Machine)  The piece hinged to the needle, which holds the engaged loop in position while the needle is penetrating another loop; a latch. Knight. 11. The pair of arms revolving around the bobbin, in a spinning wheel or spinning frame, to twist the yarn. 12. (Weaving)  A shuttle driven through the shed by a blow or jerk. Knight. 13. (a) Formerly, the person who took the printed sheets from the press. (b) A vibrating frame with fingers, attached to a power to a power printing press for doing the same work. 14. The outer canvas of a tent with double top, usually drawn over the ridgepole, but so extended as to touch the roof of the tent at no other place. 15. One of the upper screens of a stage in a theater. 16. The fore flap of a bootee; also, a lap on trousers, overcoats, etc., to conceal a row of buttons. 17. (Baseball)  A batted ball that flies to a considerable distance, usually high in the air; also, the flight of a ball so struck; as, it was caught on the fly. Black fly, Cheese fly, Dragon fly, etc. See under Black, Cheese, etc. -- Fly agaric (Bot.), a mushroom (Agaricus muscarius), having a narcotic juice which, in sufficient quantities, is poisonous. -- Fly block (Naut.), a pulley whose position shifts to suit the working of the tackle with which it is connected; -- used in the hoisting tackle of yards. -- Fly board (Printing Press), the board on which printed sheets are deposited by the fly. -- Fly book, a case in the form of a book for anglers' flies. Kingsley. -- Fly cap, a cap with wings, formerly worn by women. -- Fly drill, a drill having a reciprocating motion controlled by a fly wheel, the driving power being applied by the hand through a cord winding in reverse directions upon the spindle as it rotates backward and forward. Knight. -- Fly fishing, the act or art of angling with a bait of natural or artificial flies. Walton. -- Fly flap, an implement for killing flies. -- Fly governor, a governor for regulating the speed of an engine, etc., by the resistance of vanes revolving in the air. -- Fly honeysuckle (Bot.), a plant of the honeysuckle genus (Lonicera), having a bushy stem and the flowers in pairs, as L. ciliata and L. Xylosteum. -- Fly hook, a fishhook supplied with an artificial fly. -- Fly leaf, an unprinted leaf at the beginning or end of a book, circular, programme, etc. -- Fly maggot, a maggot bred from the egg of a fly. Ray. -- Fly net, a screen to exclude insects. -- Fly nut (Mach.), a nut with wings; a thumb nut; a finger nut. -- Fly orchis (Bot.), a plant (Ophrys muscifera), whose flowers resemble flies. -- Fly paper, poisoned or sticky paper for killing flies that feed upon or are entangled by it. -- Fly powder, an arsenical powder used to poison flies. -- Fly press, a screw press for punching, embossing, etc., operated by hand and having a heavy fly. -- Fly rail, a bracket which turns out to support the hinged leaf of a table. -- Fly rod, a light fishing rod used in angling with a fly. -- Fly sheet, a small loose advertising sheet; a handbill. -- Fly snapper (Zoöl.), an American bird (Phainopepla nitens), allied to the chatterers and shrikes. The male is glossy blue-black; the female brownish gray. -- Fly wheel (Mach.), a heavy wheel attached to machinery to equalize the movement (opposing any sudden acceleration by its inertia and any retardation by its momentum), and to accumulate or give out energy for a variable or intermitting resistance. See Fly, n., 9. -- On the fly (Baseball), still in the air; -- said of a batted ball caught before touching the ground..

Knowing; wide awake; fully understanding another's meaning. [Slang] Dickens.",flaɪ,hors d&#39;oeuvres,N.R. Walker
warp,"1. To throw; hence, to send forth, or throw out, as words; to utter. [Obs.] Piers Plowman. 2. To turn or twist out of shape; esp., to twist or bend out of a flat plane by contraction or otherwise. The planks looked warped. Coleridge. Walter warped his mouth at this To something so mock solemn, that I laughed. Tennyson. 3. To turn aside from the true direction; to cause to bend or incline; to pervert. This first avowed, nor folly warped my mind. Dryden. I have no private considerations to warp me in this controversy. Addison. We are divested of all those passions which cloud the intellects, and warp the understandings, of men. Southey. 4. To weave; to fabricate. [R. & Poetic.] Nares. While doth he mischief warp. Sternhold. 5. (Naut.)  To tow or move, as a vessel, with a line, or warp, attached to a buoy, anchor, or other fixed object. 6. To cast prematurely, as young; -- said of cattle, sheep, etc. [Prov. Eng.] 7. (Agric.)  To let the tide or other water in upon (lowlying land), for the purpose of fertilization, by a deposit of warp, or slimy substance. [Prov. Eng.] 8. (Rope Making)  To run off the reel into hauls to be tarred, as yarns. 9. (Weaving)  To arrange (yarns) on a warp beam. Warped surface (Geom.), a surface generated by a straight line moving so that no two of its consecutive positions shall be in the same plane. Davies & Peck.

1. To turn, twist, or be twisted out of shape; esp., to be twisted or bent out of a flat plane; as, a board warps in seasoning or shrinking. One of you will prove a shrunk panel, and, like green timber, warp, warp. Shak. They clamp one piece of wood to the end of another, to keep it from casting, or warping. Moxon. 2. to turn or incline from a straight, true, or proper course; to deviate; to swerve. There is our commission, From which we would not have you warp. Shak. 3. To fly with a bending or waving motion; to turn and wave, like a flock of birds or insects. A pitchy cloud Of locusts, warping on the eastern wind. Milton. 4. To cast the young prematurely; to slink; -- said of cattle, sheep, etc. [Prov. Eng.] 5. (Weaving)  To wind yarn off bobbins for forming the warp of a web; to wind a warp on a warp beam.

1. (Weaving)  The threads which are extended lengthwise in the loom, and crossed by the woof. 2. (Naut.)  A rope used in hauling or moving a vessel, usually with one end attached to an anchor, a post, or other fixed object; a towing line; a warping hawser. 3. (Agric.)  A slimy substance deposited on land by tides, etc., by which a rich alluvial soil is formed. Lyell. 4. A premature casting of young; -- said of cattle, sheep, etc. [Prov. Eng.] 5. Four; esp., four herrings; a cast. See Cast, n., 17. [Prov. Eng.] Wright. 6. Etym: [From Warp, v.]  The state of being warped or twisted; as, the warp of a board. Warp beam, the roller on which the warp is wound in a loom. -- Warp fabric, fabric produced by warp knitting. -- Warp frame, or Warp-net frame, a machine for making warp lace having a number of needles and employing a thread for each needle. -- Warp knitting, a kind of knitting in which a number of threads are interchained each with one or more contiguous threads on either side; -- also called warp weaving. -- Warp lace, or Warp net, lace having a warp crossed by weft threads.",wɔrp,hors d&#39;oeuvres,N.R. Walker
swagger,"1. To walk with a swaying motion; hence, to walk and act in a pompous, consequential manner. A man who swaggers about London clubs. Beaconsfield. 2. To boast or brag noisily; to be ostentatiously proud or vainglorious; to bluster; to bully. What a pleasant it is . . . to swagger at the bar! Arbuthnot. To be great is not . . . to swagger at our footmen. Colier.

To bully. [R.] Swift.

The act or manner of a swaggerer. He gave a half swagger, half leer, as he stepped forth to receive us. W. Irving.",sˈwægər,hors d&#39;oeuvres,N.R. Walker
pruned,修剪过的,prund,hors d&#39;oeuvres,N.R. Walker
barista,咖啡师,barista*,hors d&#39;oeuvres,N.R. Walker
pecan,"A species of hickory (Carya olivæformis), growing in North America, chiefly in the Mississippi valley and in Texas, where it is one of the largest of forest trees; also, its fruit, a smooth, oblong nut, an inch or an inch and a half long, with a thin shell and well- flavored meat. [Written also pacane.]",ˈpiˌkɑn,hors d&#39;oeuvres,N.R. Walker
spent,"1. Exhausted; worn out; having lost energy or motive force. Now thou seest me Spent, overpowered, despairing of success. Addison. Heaps of spent arrows fall and strew the ground. Dryden. 2. (Zoöl.)  Exhausted of spawn or sperm; -- said especially of fishes. Spent ball, a ball shot from a firearm, which reaches an object without having sufficient force to penetrate it.",spɛnt,hors d&#39;oeuvres,N.R. Walker
inkwell,墨水池,inkwell*,hors d&#39;oeuvres,N.R. Walker
antipasto,开胃菜,antipasto*,hors d&#39;oeuvres,N.R. Walker
sleaze,下流,sliz,hors d&#39;oeuvres,N.R. Walker
bucked,屈服,bəkt,hors d&#39;oeuvres,N.R. Walker
shambolic,混乱的,shambolic*,Slippery Creatures,K.J. Charles
gone,p. p. of Go.,gɔn,hors d&#39;oeuvres,N.R. Walker
Barracking,兵营,barracking*,Slippery Creatures,K.J. Charles
dekko,德科,dekko*,Slippery Creatures,K.J. Charles
hors d&#39;oeuvres,开胃菜,ɔr d&#39;oeuvres*,hors d&#39;oeuvres,N.R. Walker
smart casual,时尚休闲,smɑrt ˈkæʒəwəl,hors d&#39;oeuvres,N.R. Walker
mannequin,人体模型,ˈmænəkɪn,Slippery Creatures,K.J. Charles
imprimatur,"A license to print or publish a book, paper, etc.; also, in countries subjected to the censorship of the press, approval of that which is published.",ˌɪmprɪˈmɑtər,Slippery Creatures,K.J. Charles
mellifluous,"Flowing as with honey; smooth; flowing sweetly or smoothly; as, a mellifluous voice. -- Mel*lif""lu*ous*ly, adv.",mellifluous*,Slippery Creatures,K.J. Charles
exigency,"The state of being exigent; urgent or exacting want; pressing necessity or distress; need; a case demanding immediate action, supply, or remedy; as, an unforeseen exigency. ""The present exigency of his affairs."" Ludlow. Syn. -- Demand; urgency; distress; pressure; emergency; necessity; crisis.",ˌɛkˈsɪʤənsiz,Slippery Creatures,K.J. Charles
dosshouse,警局,dosshouse*,Slippery Creatures,K.J. Charles
pint,"A measure of capacity, equal to half a quart, or four gills, -- used in liquid and dry measures. See Quart.

The laughing gull. [Prov. Eng.]",paɪnt,Slippery Creatures,K.J. Charles
mufti,"An official expounder of Mohammedan law.

Citizen's dress when worn by a naval or military officer; -- a term derived from the British service in India. [Colloq. Eng.]",mufti*,Slippery Creatures,K.J. Charles
lilting,轻快的,lilting*,Slippery Creatures,K.J. Charles
scrounging,搜刮,ˈskraʊnʤɪŋ,Slippery Creatures,K.J. Charles
gigolo,舞男,ˈʤɪgəloʊ,Slippery Creatures,K.J. Charles
purveyor,"1. One who provides victuals, or whose business is to make provision for the table; a victualer; a caterer. 2. An officer who formerly provided, or exacted provision, for the king's household. [Eng.] 3. a procurer; a pimp; a bawd. Addison.",pərˈveɪər,Slippery Creatures,K.J. Charles
milliner,"1. Formerly, a man who imported and dealt in small articles of a miscellaneous kind, especially such as please the fancy of women. [Obs.] No milliner can so fit his customers with gloves. Shak. 2. A person, usually a woman, who makes, trims, or deals in hats, bonnets, headdresses, etc., for women. Man milliner, a man who makes or deals in millinery; hence, contemptuously, a man who is busied with trifling occupations or embellishments.",ˈmɪlɪnər,Slippery Creatures,K.J. Charles
getting the hang of,掌握窍门,ˈgɪtɪŋ ðə hæŋ əv,Slippery Creatures,K.J. Charles
gambit,"A mode of opening the game, in which a pawn is sacrificed to gain an attacking position.",ˈgæmbɪt,Slippery Creatures,K.J. Charles
ale,"1. An intoxicating liquor made from an infusion of malt by fermentation and the addition of a bitter, usually hops. Note: The word ale, in England and the United States, usually designates a heavier kind of fermented liquor, and the word beer a lighter kind. The word beer is also in common use as the generic name for all malt liquors. 2. A festival in English country places, so called from the liquor drunk. ""At wakes and ales."" B. Jonson.""On ember eves and holy ales."" Shak.",eɪl,Slippery Creatures,K.J. Charles
hazard that,危险,ˈhæzərd ðət,Slippery Creatures,K.J. Charles
geyser,"A boiling spring which throws forth at frequent intervals jets of water, mud, etc., driven up by the expansive power of steam. Note: Geysers were first known in Iceland, and later in New Zealand. In the Yellowstone region in the United States they are numerous, and some of them very powerful, throwing jets of boiling water and steam to a height of 200 feet. They are grouped in several areas called geyser basins. The mineral matter, or geyserite, with which geyser water is charged, forms geyser cones about the orifice, often of great size and beauty.",ˈgaɪzər,Slippery Creatures,K.J. Charles
sapphic,"1. Of or pertaining to Sappho, the Grecian poetess; as, Sapphic odes; Sapphic verse. 2. (Pros.)  Belonging to, or in the manner of, Sappho; -- said of a certain kind of verse reputed to have been invented by Sappho, consisting of five feet, of which the first, fourth, and fifth are trochees, the second is a spondee, and the third a dactyl.

A Sapphic verse.",sapphic*,Slippery Creatures,K.J. Charles
principality,"1. Sovereignty; supreme power; hence, superiority; predominance; high, or the highest, station. Sir P. Sidney. Your principalities shall come down, even the crown of your glory. Jer. xiii. 18. The prerogative and principality above everything else. Jer. Taylor. 2. A prince; one invested with sovereignty. ""Next upstood Nisroch, of principalities the prime."" Milton. 3. The territory or jurisdiction of a prince; or the country which gives title to a prince; as, the principality of Wales.",ˌprɪnsɪˈpælɪtiz,Slippery Creatures,K.J. Charles
awning,"1. A rooflike cover, usually of canvas, extended over or before any place as a shelter from the sun, rain, or wind. 2. (Naut.) That part of the poop deck which is continued forward beyond the bulkhead of the cabin.",awnings*,Slippery Creatures,K.J. Charles
orifice,"A mouth or aperture, as of a tube, pipe, etc.; an opening; as, the orifice of an artery or vein; the orifice of a wound. Shak. Etna was bored through the top with a monstrous orifice. Addison.",ˈɔrəfəs,Slippery Creatures,K.J. Charles
anthrax,"1. (Med.) (a) A carbuncle. (b) A malignant pustule. 2. (Biol.)  A microscopic, bacterial organism (Bacillus anthracis), resembling transparent rods. [See Illust. under Bacillus.] 3. An infectious disease of cattle and sheep. It is ascribed to the presence of a rod-shaped bacterium (Bacillus anthracis), the spores of which constitute the contagious matter. It may be transmitted to man by inoculation. The spleen becomes greatly enlarged and filled with bacteria. Called also splenic fever.",ˈænθræks,Slippery Creatures,K.J. Charles
carafe,A glass water bottle for the table or toilet; -- called also croft.,kəˈræf,Slippery Creatures,K.J. Charles
flyleaf,扉页,flyleaf*,Slippery Creatures,K.J. Charles
jiffy,"A moment; an instant; as, I will be ready in a jiffy. [Colloq.] J. & H. Smith.",ˈʤɪfi,Slippery Creatures,K.J. Charles
elliptical,"1. Of or pertaining to an ellipse; having the form of an ellipse; oblong, with rounded ends. The planets move in elliptic orbits. Cheyne. 2. Having a part omitted; as, an elliptical phrase. Elliptic chuck. See under Chuck. -- Elliptic compasses, an instrument arranged for drawing ellipses. -- Elliptic function. (Math.) See Function. -- Elliptic integral. (Math.) See Integral. -- Elliptic polarization. See under Polarization.",ɪˈlɪptɪkəl,Slippery Creatures,K.J. Charles
slug,"1. A drone; a slow, lazy fellow; a sluggard. Shak. 2. A hindrance; an obstruction. [Obs.] Bacon. 3. (Zoöl.)  Any one of numerous species of terrestrial pulmonate mollusks belonging to Limax and several related genera, in which the shell is either small and concealed in the mantle, or altogether wanting. They are closely allied to the land snails. 4. (Zoöl.)  Any smooth, soft larva of a sawfly or moth which creeps like a mollusk; as, the pear slug; rose slug. 5. A ship that sails slowly. [Obs.] Halliwell. His rendezvous for his fleet, and for all slugs to come to, should be between Calais and Dover. Pepys. 6. Etym: [Perhaps a different word.]  An irregularly shaped piece of metal, used as a missile for a gun. 7. (Print.)  A thick strip of metal less than type high, and as long as the width of a column or a page, -- used in spacing out pages and to separate display lines, etc. Sea slug. (Zoöl.) (a) Any nudibranch mollusk. (b) A holothurian. -- Slug caterpillar. Same as Slugworm.

To move slowly; to lie idle. [Obs.] To slug in sloth and sensual delight. Spenser.

To make sluggish. [Obs.] Milton.

1. To load with a slug or slugs; as, to slug a gun. 2. To strike heavily. [Cant or Slang]

To become reduced in diameter, or changed in shape, by passing from a larger to a smaller part of the bore of the barrel; -- said of a bullet when fired from a gun, pistol, or other firearm.",sləg,Slippery Creatures,K.J. Charles
Belgian,比利时人,ˈbɛlʤən,Slippery Creatures,K.J. Charles
peony,"A plant, and its flower, of the ranunculaceous genus Pæonia. Of the four or five species, one is a shrub; the rest are perennial herbs with showy flowers, often double in cultivation. [Written also pæony, and piony.]",ˈpiəni,Slippery Creatures,K.J. Charles
mayhem,The maiming of a person by depriving him of the use of any of his members which are necessary for defense or protection. See Maim.,ˈmeɪˌhɛm,Slippery Creatures,K.J. Charles
aspersion,"1. A sprinkling, as with water or dust, in a literal sense. Behold an immersion, not and aspersion. Jer. Taylor. 2. The spreading of calumniations reports or charges which tarnish reputation, like the bespattering of a body with foul water; calumny. Every candid critic would be ashamed to cast wholesale aspersions on the entire body of professional teachers. Grote. Who would by base aspersions blot thy virtue. Dryden.",əˈspərʒənz,Slippery Creatures,K.J. Charles
probate,"1. Proof. [Obs.] Skelton. 2. (Law) (a) Official proof; especially, the proof before a competent officer or tribunal that an instrument offered, purporting to be the last will and testament of a person deceased, is indeed his lawful act; the copy of a will proved, under the seal of the Court of Probate, delivered to the executors with a certificate of its having been proved. Bouvier. Burrill. (b) The right or jurisdiction of proving wills.

Of or belonging to a probate, or court of probate; as, a probate record. Probate Court, or Court of Probate, a court for the probate of wills. -- Probate duty, a government tax on property passing by will. [Eng.]

To obtain the official approval of, as of an instrument purporting to be the last will and testament; as, the executor has probated the will.",ˈproʊˌbeɪt,Slippery Creatures,K.J. Charles
lassitude,"A condition of the body, or mind, when its voluntary functions are performed with difficulty, and only by a strong exertion of the will; languor; debility; weariness. The corporeal instruments of action being strained to a high pitch . . . will soon feel a lassitude. Barrow.",lassitude*,Slippery Creatures,K.J. Charles
Red tape,繁文缛节,rɛd teɪp,Slippery Creatures,K.J. Charles
roulade,"A smoothly running passage of short notes (as semiquavers, or sixteenths) uniformly grouped, sung upon one long syllable, as in Handel's oratorios.",roulade*,Slippery Creatures,K.J. Charles
Mariage blanc,白色婚礼,mariage* blæŋk,Slippery Creatures,K.J. Charles
